IP,Log_Line
127.0.0.1,2025-06-20T03:08:42.195350-04:00 kali sshd-session[3977]: Failed password for root from 127.0.0.1 port 58574 ssh2
127.0.0.1,2025-06-20T03:08:42.338862-04:00 kali sshd-session[3974]: Failed password for root from 127.0.0.1 port 58550 ssh2
127.0.0.1,2025-06-20T03:08:42.551005-04:00 kali sshd-session[3982]: Failed password for root from 127.0.0.1 port 58618 ssh2
127.0.0.1,2025-06-20T03:08:42.716152-04:00 kali sshd-session[3988]: Failed password for root from 127.0.0.1 port 58614 ssh2
127.0.0.1,2025-06-20T03:08:42.827850-04:00 kali sshd-session[3993]: Failed password for root from 127.0.0.1 port 58662 ssh2
127.0.0.1,2025-06-20T03:08:42.837905-04:00 kali sshd-session[3973]: Failed password for root from 127.0.0.1 port 58520 ssh2
127.0.0.1,2025-06-20T03:08:43.530372-04:00 kali sshd-session[3966]: Failed password for root from 127.0.0.1 port 58536 ssh2
127.0.0.1,2025-06-20T03:08:43.619890-04:00 kali sshd-session[3970]: Failed password for root from 127.0.0.1 port 58546 ssh2
127.0.0.1,2025-06-20T03:08:43.682794-04:00 kali sshd-session[3981]: Failed password for root from 127.0.0.1 port 58604 ssh2
127.0.0.1,2025-06-20T03:08:44.058543-04:00 kali sshd-session[3976]: Failed password for root from 127.0.0.1 port 58560 ssh2
127.0.0.1,2025-06-20T03:08:44.175457-04:00 kali sshd-session[3977]: Failed password for root from 127.0.0.1 port 58574 ssh2
127.0.0.1,2025-06-20T03:08:44.436961-04:00 kali sshd-session[3986]: Failed password for root from 127.0.0.1 port 58648 ssh2
127.0.0.1,2025-06-20T03:08:44.483662-04:00 kali sshd-session[3985]: Failed password for root from 127.0.0.1 port 58626 ssh2
127.0.0.1,2025-06-20T03:08:44.523143-04:00 kali sshd-session[3979]: Failed password for root from 127.0.0.1 port 58588 ssh2
127.0.0.1,2025-06-20T03:08:44.671317-04:00 kali sshd-session[3982]: Failed password for root from 127.0.0.1 port 58618 ssh2
127.0.0.1,2025-06-20T03:08:44.768968-04:00 kali sshd-session[3994]: Failed password for root from 127.0.0.1 port 58676 ssh2
127.0.0.1,2025-06-20T03:08:45.347435-04:00 kali sshd-session[3972]: Failed password for root from 127.0.0.1 port 58540 ssh2
127.0.0.1,2025-06-20T03:08:45.395245-04:00 kali sshd-session[3974]: Failed password for root from 127.0.0.1 port 58550 ssh2
